Iteration Agents Items Duration Price_Rise_Steps Tranfer_Steps
80510 20 38 145934 29 14
80511 5 25 1366 3 2
80512 4 30 33269 12 11
80513 14 15 13386 10 17
80514 17 36 145941 40 28
80515 16 26 43301 23 12
80516 16 32 60610 24 15
80517 3 8 551 3 1
80518 15 14 10249 11 6
80519 4 8 456 1 1
80520 7 2 157 0 0
80521 16 39 82454 28 13
80522 9 20 6102 5 6
80523 15 31 61298 22 11
80524 8 10 4314 5 8
80525 18 32 60925 22 14
80526 3 20 457 1 1
80527 14 23 8881 11 6
80528 5 17 1110 3 3
80529 16 24 55130 22 7
80530 12 30 64662 14 6
80531 4 5 799 0 2
80532 11 21 12080 14 11
80533 19 22 112283 33 19
80534 13 21 19428 16 12
80535 17 30 114141 41 9
80536 1 20 121 0 0
80537 5 6 687 2 2
80538 14 28 16500 16 15
80539 6 36 42790 11 10
80540 18 28 58568 25 18
80541 14 9 2499 2 2
80542 17 12 6972 7 4
80543 4 33 37645 5 2
80544 1 10 200 0 0
80545 16 20 23454 26 14
80546 7 27 44680 11 15
80547 18 23 116213 28 15
80548 18 29 136914 35 22
80549 16 24 4284 5 4
80550 8 14 1908 4 3
80551 13 11 6956 8 7
80552 20 25 60583 14 7
80553 13 4 625 0 1
80554 2 14 255 0 1
80555 20 10 3176 2 2
80556 6 5 1251 3 3
80557 9 18 36725 8 7
80558 15 18 13651 8 10
80559 18 18 59202 22 11
80560 19 37 93743 30 16
80561 5 32 3554 7 7
80562 1 4 62 0 0
80563 4 7 365 0 0
80564 1 7 394 0 0
80565 1 16 442 0 0
80566 6 11 4997 7 4
80567 16 40 91695 31 15
80568 6 31 6378 9 6
80569 1 38 227 0 0
80570 5 5 181 0 0
80571 6 22 110293 5 4
80572 9 29 8737 12 5
80573 7 31 5084 13 10
80574 7 2 118 0 0
80575 8 2 485 0 0
80576 20 39 249848 60 23
80577 20 8 7059 1 2
80578 15 13 41227 12 9
80579 19 8 693 0 0
80580 12 32 48588 18 8
80581 1 39 393 0 0
80582 19 39 177789 77 29
80583 1 25 217 0 0
80584 13 14 75133 10 9
80585 19 31 16599 17 8
80586 13 26 60741 23 17
80587 5 11 1412 5 2
80588 3 21 3304 5 2
80589 5 39 61527 9 7
80590 9 17 12415 13 8
80591 3 29 1898 4 5
80592 12 5 1061 1 1
80593 5 3 254 0 0
80594 2 4 198 0 0
80595 12 38 45933 31 14
80596 17 1 224 0 0
80597 17 21 88756 10 6
80598 9 3 493 0 1
80599 16 36 52809 28 23
80600 6 34 96064 9 5
80601 16 24 59445 36 12
80602 12 11 3828 8 5
80603 10 5 879 1 1
80604 14 28 58660 12 12
80605 3 15 2097 4 3
80606 18 9 945 0 0
80607 4 16 2272 4 5
80608 10 18 5127 9 2
80609 7 32 2026 6 5
80610 6 3 216 0 0
80611 3 23 2353 6 4
80612 11 22 12178 17 9
80613 11 39 37173 11 9
80614 6 33 7195 14 8
80615 19 27 150476 37 21
80616 19 9 1484 0 2
80617 6 30 5836 11 6
80618 17 13 23570 9 5
80619 16 16 22749 13 11
80620 14 6 1376 1 1
80621 7 32 65108 16 15
80622 9 5 2043 1 2
80623 18 3 1010 0 0
80624 9 9 3860 4 6
80625 19 14 8528 7 6
80626 10 33 42320 24 18
80627 4 37 1932 5 6
80628 7 10 1873 2 3
80629 16 25 12241 12 8
80630 11 24 78206 19 19
80631 17 28 51202 22 13
80632 7 8 814 0 2
80633 20 27 19982 17 12
80634 6 21 89435 10 8
80635 3 1 292 0 0
80636 20 7 3742 0 0
80637 11 14 4142 9 4
80638 13 2 256 0 0
80639 6 8 2973 10 8
80640 15 6 1807 0 2
80641 12 21 35753 14 5
80642 10 32 8528 16 10
80643 13 16 71847 11 4
80644 13 3 520 0 1
80645 8 5 225 0 0
80646 9 12 2549 3 6
80647 12 38 67781 25 14
80648 4 27 1321 4 3
80649 16 11 4429 4 4
80650 10 7 502 0 1
80651 11 29 39700 25 10
80652 9 16 1367 2 3
80653 20 6 1393 0 1
80654 1 21 119 0 0
80655 5 18 2169 7 4
80656 16 38 89625 32 13
80657 18 27 61034 33 13
80658 8 20 46041 9 6
80659 7 29 5471 14 7
80660 3 38 615 1 0
80661 17 34 92892 33 13
80662 7 23 3284 6 3
80663 15 21 78568 21 12
80664 12 24 15577 21 16
80665 5 27 52691 9 9
80666 17 35 64874 19 9
80667 13 27 18257 20 8
80668 3 13 1254 5 5
80669 8 17 79868 14 10
80670 13 15 11013 13 15
80671 4 16 597 1 1
80672 19 1 376 0 0
80673 5 7 798 2 3
80674 4 26 36885 6 5
80675 12 31 16822 17 16
80676 15 9 2654 4 2
80677 9 37 30668 13 11
80678 18 24 4626 5 7
80679 12 16 72887 18 15
80680 15 30 56027 20 10
80681 10 22 8590 20 11
80682 1 40 182 0 0
80683 2 22 426 1 1
80684 5 10 1456 4 5
80685 8 3 223 0 0
80686 15 10 42119 7 6
80687 12 8 2370 2 2
80688 10 6 3123 2 2
80689 14 16 11931 11 8
80690 20 36 113886 33 16
80691 3 35 3125 5 4
80692 6 10 2578 7 5
80693 17 21 74040 10 7
80694 6 24 3654 10 4
80695 2 28 260 0 0
80696 12 31 43192 30 16
80697 15 24 4571 6 3
80698 1 35 374 0 0
80699 13 18 60239 10 5
80700 12 35 13756 21 16
80701 6 12 42291 9 8
80702 13 40 18180 18 11
80703 19 12 34694 3 3
80704 15 6 3343 1 2
80705 10 38 53685 23 17
80706 18 14 9833 9 3
80707 9 4 247 0 0
80708 1 24 190 0 0
80709 17 17 54059 13 14
80710 15 9 3234 1 4
80711 19 6 893 0 0
80712 12 31 7965 13 5
80713 4 31 3155 5 9
80714 11 19 45561 17 10
80715 20 20 55979 27 13
80716 10 38 105866 17 14
80717 11 6 705 0 1
80718 17 3 286 0 0
80719 19 8 376 0 0
80720 15 24 65633 27 8
80721 17 6 819 0 0
80722 17 24 46346 23 12
80723 11 14 7300 10 6
80724 8 40 43420 14 12
80725 9 2 713 0 0
80726 7 7 4221 3 6
80727 14 11 5070 6 3
80728 8 13 3103 5 6
80729 7 6 561 0 2
80730 12 16 5042 8 4
80731 1 26 616 0 0
80732 6 6 48488 2 3
80733 19 10 4419 2 3
80734 4 21 662 1 1
80735 4 25 1867 1 2
80736 16 26 50596 22 19
80737 7 33 2385 4 5
80738 11 22 5330 10 8
80739 6 31 68052 10 7
80740 7 6 2020 2 4
80741 3 27 993 1 1
80742 1 36 353 0 0
80743 16 36 52628 17 11
80744 5 38 5128 5 5
80745 12 8 2406 2 2
80746 18 40 67212 21 20
80747 20 37 52392 29 14
80748 2 1 75 0 0
80749 2 36 52568 1 1
80750 9 37 6031 12 12
80751 5 11 1089 2 5
80752 17 8 1588 1 1
80753 14 37 60061 17 12
80754 19 38 90954 29 26
80755 19 35 76026 43 14
80756 7 4 413 0 1
80757 17 19 45306 16 7
80758 3 20 2081 6 5
80759 18 30 54756 19 20
80760 11 36 91048 37 22
80761 13 21 9446 10 6
80762 1 14 339 0 0
80763 7 4 408 0 1
80764 15 9 3383 2 3
80765 1 9 259 0 0
80766 19 6 524 0 0
80767 13 16 60508 4 2
80768 16 37 102967 31 14
80769 6 22 6396 9 4
80770 14 26 75534 16 6
80771 2 22 1382 2 2
80772 2 13 715 1 1
80773 11 28 10055 14 8
80774 2 10 194 0 0
80775 16 36 44887 23 13
80776 2 33 1506 1 1
80777 14 29 90816 24 20
80778 12 7 289 0 0
80779 20 15 34245 11 5
80780 5 7 893 3 3
80781 9 9 5398 5 5
80782 19 23 7512 7 6
80783 6 2 197 0 0
80784 11 31 43283 13 9
80785 20 27 48940 30 16
80786 9 15 3403 10 4
80787 16 11 51835 5 2
80788 3 12 2847 4 5
80789 11 35 13319 14 10
80790 16 3 427 0 0
80791 13 23 27428 8 7
80792 10 20 8725 12 11
80793 19 30 58913 17 13
80794 7 27 3431 8 5
80795 10 13 6379 7 4
80796 14 9 2749 4 1
80797 17 15 85296 12 7
80798 3 15 1680 3 2
80799 5 18 1255 2 1
80800 1 14 187 0 0
80801 3 24 375 0 0
80802 16 10 5144 3 2
80803 20 37 198463 55 22
80804 3 16 135 0 0
80805 5 1 84 0 0
80806 15 31 38173 16 14
80807 10 26 32825 24 8
80808 11 19 5281 6 3
80809 4 31 3583 6 4
80810 13 24 11949 14 11
80811 3 33 31236 4 1
80812 20 25 74625 42 19
80813 1 39 184 0 0
80814 6 37 86771 17 11
80815 3 5 335 1 1
80816 13 15 2746 1 5
80817 6 33 79870 13 14
80818 6 35 2619 6 3
80819 3 10 544 2 2
80820 4 4 410 1 1
80821 3 37 5159 9 9
80822 3 34 1312 3 3
80823 18 18 54808 24 10
80824 16 10 2430 2 4
80825 16 9 34358 0 1
80826 10 22 13129 16 12
80827 12 1 291 0 0
80828 15 39 103082 24 29
80829 20 39 99760 40 20
80830 18 25 55524 17 7
80831 2 7 601 1 1
80832 3 7 884 1 2
80833 2 34 1199 2 3
80834 8 39 46021 21 10
80835 7 33 34284 19 10
80836 17 2 546 0 0
80837 12 20 11948 13 5
80838 4 35 3843 10 9
80839 9 36 78432 11 18
80840 16 27 54059 17 8
80841 15 5 1163 0 0
80842 20 33 46067 32 15
80843 13 36 56121 26 17
80844 13 29 54449 24 10
80845 2 25 495 1 1
80846 9 36 53695 8 10
80847 10 7 2433 2 2
80848 13 24 45680 22 10
80849 16 3 506 0 0
80850 15 31 17031 16 7
80851 4 7 914 4 2
80852 19 5 451 0 0
80853 12 25 54265 28 11
80854 18 16 45211 14 5
80855 12 5 552 0 1
80856 2 13 345 1 1
80857 6 3 301 0 1
80858 3 39 2175 3 2
80859 10 19 6493 11 9
80860 7 37 101510 8 11
80861 16 34 73480 40 22
80862 11 1 194 0 0
80863 16 13 32288 13 7
80864 5 36 8234 12 7
80865 3 36 1745 5 3
80866 17 9 71767 2 3
80867 7 26 6607 8 7
80868 2 24 857 1 1
80869 8 40 6372 6 5
80870 10 9 2701 4 5
80871 7 30 38241 10 7
80872 19 11 5179 1 4
80873 9 6 1638 2 3
80874 20 40 178104 70 31
80875 12 9 38246 7 3
80876 6 33 2821 3 3
80877 16 4 555 0 0
80878 8 11 1686 2 3
80879 17 16 13393 14 5
80880 9 17 40693 17 18
80881 15 39 86286 22 11
80882 13 12 4856 7 4
80883 19 15 4772 9 3
80884 15 29 119736 37 19
80885 14 10 3093 5 2
80886 19 12 58000 7 4
80887 11 1 469 0 0
80888 18 25 23013 19 14
80889 16 8 1892 2 1
80890 11 12 34256 3 3
80891 3 24 1987 3 3
80892 7 19 6377 8 8
80893 4 13 875 5 2
80894 13 39 84669 36 17
80895 3 4 137 0 0
80896 16 14 12614 16 7
80897 14 19 35668 17 11
80898 1 14 115 0 0
80899 11 37 51117 23 11
80900 1 8 185 0 0
80901 6 22 6890 9 7
80902 20 15 10400 8 3
80903 14 21 97904 19 14
80904 16 17 43570 24 5
80905 12 36 37188 27 23
